 1   4          1          6        214     741218       2206
                      9329          0         10         26          8
                        40          3          0         34          5
                         2          3          0      32366         13
                         1          1          0          3          0
                         0
 1  26          0      12714     125047     741218       2216
                    409472        260         38        210        198
                      3346       2005         30        218       2168
                       432          3         20    2957717        492
                       287          7         50         31          0
                         0
 1  19          0      12714     125226     741218       2216
                    349224        260         12         44         10
                       203          3         29        412       6552
                       512          3         51    2376942         43
                         1          6         50          4          0
                         0
 1  41          0      12714     125307     741218       2216
                     24382        260         15         26         16
                       204          3        449        161       1259
                       348          3          0      37406         44
                         1          6         44          7          0
                         0
 1  17          0      12714     125044     741218       2216
                    285997        265         29        142        147
                      2226       1315        520        278       2574
                       535          3         13    1955603        332
                       189          7         53         28          0
                         0
 1  24          0      12714     124757     741218       2217
                    353437        260         12         44         10
                       203          3         29        411       9071
                       538          3         51    2378508         43
                         1          2         50          4          0
                         0
 1  29          0      12714     125136     741218       2217
                     58520        280         12         23        126
                       203          3        589        214      10572
                       521          3          1      73374         43
                         1          7         49          8          0
                         0
 1  35          0      12714     125140     741218       2217
                     63388        280         12         23        140
                       203          6        589        218      10321
                       489          3          1      62844         43
                         2          7         47         15          0
                         0
 1  21          0      12714     124755     741218       2218
                    373405        260         12         44         44
                       364          3         31        412       9530
                       647          3         51    2386687         50
                         1          2         51         21          0
                         0
 1  15          0      12714     124753     741218       2219
                    385067        260         13         46         72
                       203          3         31        412       9736
                       690          3         51    2382385         43
                         1          2         54         35          0
                         0
 1  18          0      12714     124754     741218       2219
                    372378        260         12         44         48
                       203          3         33        412       9698
                       678          3         51    2375875         43
                         1          2         53         23          0
                         0
 1  22          0      12714     125232     741218       2219
                    366627        260         12         44         36
                       203          3         31        412       9682
                       662          3         51    2377887         43
                         1          6         49         17          0
                         0
 1  32          0      12714     125137     741218       2219
                     93612        280         13         25        200
                       203          3        589        225      10746
                       605          3          1      66471         43
                         1          7         48         45          0
                         0
 1  20          0      12714     125045     741218       2219
                    381313        260         13         46         62
                       203          3         29        412      10078
                       698          3         51    2386699         43
                         1          7         52         30          0
                         0
 1  40          0      12714     125146     741218       2222
                    412871        260         41        213        198
                      3298       2005         32        228       3945
                       711          3         20    2971051        486
                       287          7         45         31          0
                         0
 1  39          0      12714     125306     741218       2222
                    412961        260         38        210        200
                      3297       2005         30        227       4212
                       748          3         20    2962060        485
                       287          6         55         32          0
                         0
 1  33          0      12714     124766     741218       2226
                     67234        260         12         32         10
                        14          3         42         94       4300
                       994          3          2     693346          6
                         1          2         47          4          0
                         0
 1   4          0      12714     124744     741218       2226
                   1467618        260         12         33         10
                       203          3         35        174      11345
                      1229          3        160   14597907         43
                         1          2         59          4          0
                         0
 1  27          0      12714     124763     741218       2227
                     88330        260         12         32         28
                        14          3         44         84       4791
                      1098          3          3     847110          6
                         1          2         49         13          0
                         0
 1  14          0      12714     125042     741218       2227
                    107646        260         13         34         66
                        14          3         46         84       4988
                      1200          3          3     852006          6
                         1          7         54         32          0
                         0
 1  12          0      12714     124752     741218       2227
                   1503163        260         13         35         82
                       203          3         37        175      11377
                      1230          3        160   14601879         43
                         1          2         55         40          0
                         0
 1  30          0      12714     124765     741218       2228
                     93056        260         12         32         22
                        14          3         48         84       5039
                      1145          3          4     932749          6
                         1          2         48         10          0
                         0
 1   7          0      12714     124750     741218       2228
                   1490720        260         13         35         56
                       203          3         35        175      11684
                      1319          3        160   14597678         43
                         1          2         58         27          0
                         0
 1  36          0      12714     124767     741218       2236
                    688393        260         76        471        453
                      2345       1739         34        371       9659
                      1576          3         38    5560122        349
                       249          2         46         68          0
                         0
 1  13          0      12714     125224     741218       2237
                    551369        280         12         44       1418
                       203       4419         39        210      35829
                      1839          3         37    1663243         43
                       193          6         52         68          0
                         0
 1  11          0      12714     125040     741218       2239
                    551069        280         12         44       1418
                       203       4419         41        211      38262
                      1923          3         36    1632009         43
                       193          7         55         68          0
                         0
 1   8          0      12714     125030     741218       2239
                    553919        280         12         44       1420
                       203       4419         41        211      38629
                      1942          3         37    1642482         43
                       193          7         56         69          0
                         0
 1   5          0      12714     125027     741218       2239
                    555799        280         12         44       1418
                       203       4419         43        211      39334
                      1966          3         37    1654612         43
                       193          7         57         68          0
                         0
 1  23          0      12714     125046     741218       2239
                    694291        260         76        471        457
                      2345       1739         30        360      12252
                      1847          3         38    5563180        349
                       249          7         51         70          0
                         0
 1   6          0      12714     125221     741218       2239
                    559057        280         12         44       1418
                       203       4419         43        211      38958
                      1970          3         38    1683315         43
                       193          6         54         68          0
                         0
 1  37          0      12714     125465     741218       2239
                    483550        280         12         51       2098
                       203       2109         57        127      49331
                      1765          3         16     585259         43
                        73          6         45         76          0
                         0
 1  16          0      12714     125225     741218       2239
                    551325        280         12         44       1422
                       203       4419         39        211      38754
                      1907          3         36    1615177         43
                       193          6         51         70          0
                         0
 1   9          0      12714     125222     741218       2239
                    549449        280         12         44       1422
                       203       4419         41        210      39085
                      1953          3         36    1598838         43
                       193          6         53         70          0
                         0
 1  34          0      12714     125240     741218       2239
                    487987        280         12         51       2098
                       203       2109         57        127      49666
                      1791          3         17     610000         43
                        73          6         46         76          0
                         0
 1  38          0      12714     125145     741218       2239
